| Decimal | Binary | Octal | Hexadecimal
----------------------------------------------
|       1 |       1 |     1 |     1 |
|       2 |      10 |     2 |     2 |
|       3 |      11 |     3 |     3 |
|       4 |     100 |     4 |     4 |
|       5 |     101 |     5 |     5 |
|       6 |     110 |     6 |     6 |
|       7 |     111 |     7 |     7 |
|       8 |    1000 |    10 |     8 |
|       9 |    1001 |    11 |     9 |
|      10 |    1010 |    12 |     a |
|      11 |    1011 |    13 |     b |
|      12 |    1100 |    14 |     c |
|      13 |    1101 |    15 |     d |
|      14 |    1110 |    16 |     e |
|      15 |    1111 |    17 |     f |
|      16 |   10000 |    20 |    10 |
|      17 |   10001 |    21 |    11 |
|      18 |   10010 |    22 |    12 |
|      19 |   10011 |    23 |    13 |
